Symbol,Name
ABT,Abbott Laboratories Common Stock
ABBV,AbbVie Inc. Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ADBE,Adobe Inc. Common Stock
AMD,Advanced Micro Devices Inc. Common Stock
AAP,Advance Auto Parts Inc.
AES,The AES Corporation Common Stock
AFL,AFLAC Incorporated Common Stock
A,Agilent Technologies Inc. Common Stock
APD,Air Products and Chemicals Inc. Common Stock
AKAM,Akamai Technologies Inc. Common Stock
ALK,Alaska Air Group Inc. Common Stock
ALB,Albemarle Corporation Common Stock
ARE,Alexandria Real Estate Equities Inc. Common Stock
ALGN,Align Technology Inc. Common Stock
ALLE,Allegion plc Ordinary Shares
ALL,Allstate Corporation (The) Common Stock
AMZN,Amazon.com Inc. Common Stock
AMCR,Amcor plc Ordinary Shares
AEE,Ameren Corporation Common Stock
AAL,American Airlines Group Inc. Common Stock
AEP,American Electric Power Company Inc. Common Stock
AXP,American Express Company Common Stock
AIG,American International Group Inc. New Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AWK,American Water Works Company Inc. Common Stock
AMP,Ameriprise Financial Inc. Common Stock
AME,AMETEK Inc.
AMGN,Amgen Inc. Common Stock
APH,Amphenol Corporation Common Stock
ADI,Analog Devices Inc. Common Stock
ANSS,ANSYS Inc. Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
AOS,A.O. Smith Corporation Common Stock
APA,APA Corporation Common Stock
AIV,Apartment Investment and Management Company Common Stock
AAPL,Apple Inc. Common Stock
AMAT,Applied Materials Inc. Common Stock
APTV,Aptiv PLC Ordinary Shares
ADM,Archer-Daniels-Midland Company Common Stock
ANET,Arista Networks Inc. Common Stock
AJG,Arthur J. Gallagher & Co. Common Stock
AIZ,Assurant Inc. Common Stock
ATO,Atmos Energy Corporation Common Stock
ADSK,Autodesk Inc. Common Stock
ADP,Automatic Data Processing Inc. Common Stock
AZO,AutoZone Inc. Common Stock
AVB,AvalonBay Communities Inc. Common Stock
AVY,Avery Dennison Corporation Common Stock
AVGO,Broadcom Inc. Common Stock
BKR,Baker Hughes Company Class A Common Stock
BAC,Bank of America Corporation Common Stock
BK,The Bank of New York Mellon Corporation Common Stock
BAX,Baxter International Inc. Common Stock
BDX,Becton Dickinson and Company Common Stock
BBY,Best Buy Co. Inc. Common Stock
BIO,Bio-Rad Laboratories Inc. Class A Common Stock
BIIB,Biogen Inc. Common Stock
BLK,BlackRock Inc. Common Stock
BA,Boeing Company (The) Common Stock
BKNG,Booking Holdings Inc. Common Stock
BWA,BorgWarner Inc. Common Stock
BXP,Boston Properties Inc. Common Stock
BSX,Boston Scientific Corporation Common Stock
BMY,Bristol-Myers Squibb Company Common Stock
BR,Broadridge Financial Solutions Inc. Common Stock
BEN,Franklin Resources Inc. Common Stock
CHRW,C.H. Robinson Worldwide Inc. Common Stock
CDNS,Cadence Design Systems Inc. Common Stock
CPB,Campbell Soup Company Common Stock
COF,Capital One Financial Corporation Common Stock
CAH,Cardinal Health Inc. Common Stock
CCL,Carnival Corporation Common Stock
CARR,Carrier Global Corporation Common Stock 
CAT,Caterpillar Inc. Common Stock
CBOE,Cboe Global Markets Inc. Common Stock
CBRE,CBRE Group Inc Common Stock Class A
CDW,CDW Corporation Common Stock
CE,Celanese Corporation Common Stock
CNC,Centene Corporation Common Stock
CNP,CenterPoint Energy Inc (Holding Co) Common Stock
CF,CF Industries Holdings Inc. Common Stock
CHTR,Charter Communications Inc. Class A Common Stock New
CVX,Chevron Corporation Common Stock
CMG,Chipotle Mexican Grill Inc. Common Stock
CB,Chubb Limited  Common Stock
CHD,Church & Dwight Company Inc. Common Stock
CI,The Cigna Group Common Stock
CINF,Cincinnati Financial Corporation Common Stock
CTAS,Cintas Corporation Common Stock
CSCO,Cisco Systems Inc. Common Stock (DE)
C,Citigroup Inc. Common Stock
CFG,Citizens Financial Group Inc. Common Stock
CTXS,#CALC!
CLX,Clorox Company (The) Common Stock
CME,CME Group Inc. Class A Common Stock
CMS,CMS Energy Corporation Common Stock
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock
CL,Colgate-Palmolive Company Common Stock
CMCSA,Comcast Corporation Class A Common Stock
CMA,Comerica Incorporated Common Stock
CAG,ConAgra Brands Inc. Common Stock
CXO,#CALC!
COP,ConocoPhillips Common Stock
COO,The Cooper Companies Inc. Common Stock
CPRT,Copart Inc. (DE) Common Stock
CTVA,Corteva Inc. Common Stock 
COST,Costco Wholesale Corporation Common Stock
COTY,Coty Inc. Class A Common Stock
CCI,Crown Castle Inc. Common Stock
CSX,CSX Corporation Common Stock
CMI,Cummins Inc. Common Stock
CVS,CVS Health Corporation Common Stock
CRM,Salesforce Inc. Common Stock
DHI,D.R. Horton Inc. Common Stock
DHR,Danaher Corporation Common Stock
DRI,Darden Restaurants Inc. Common Stock
DVA,DaVita Inc. Common Stock
DE,Deere & Company Common Stock
DAL,Delta Air Lines Inc. Common Stock
DVN,Devon Energy Corporation Common Stock
DXCM,DexCom Inc. Common Stock
DLR,Digital Realty Trust Inc. Common Stock
DFS,Discover Financial Services Common Stock
DISCA,#CALC!
DISCK,#CALC!
DISH,#CALC!
DG,Dollar General Corporation Common Stock
DLTR,Dollar Tree Inc. Common Stock
D,Dominion Energy Inc. Common Stock
DPZ,Domino's Pizza Inc Common Stock
DOV,Dover Corporation Common Stock
DOW,Dow Inc. Common Stock 
DTE,DTE Energy Company Common Stock
DUK,Duke Energy Corporation (Holding Company) Common Stock
DRE,#CALC!
DD,DuPont de Nemours Inc. Common Stock
DXC,DXC Technology Company Common Stock 
DGX,Quest Diagnostics Incorporated Common Stock
DIS,Walt Disney Company (The) Common Stock
ED,Consolidated Edison Inc. Common Stock
ETFC,#CALC!
EMN,Eastman Chemical Company Common Stock
ETN,Eaton Corporation PLC Ordinary Shares
EBAY,eBay Inc. Common Stock
ECL,Ecolab Inc. Common Stock
EIX,Edison International Common Stock
EW,Edwards Lifesciences Corporation Common Stock
EA,Electronic Arts Inc. Common Stock
EMR,Emerson Electric Company Common Stock
ETR,Entergy Corporation Common Stock
EOG,EOG Resources Inc. Common Stock
EFX,Equifax Inc. Common Stock
EQIX,Equinix Inc. Common Stock REIT
EQR,Equity Residential Common Shares of Beneficial Interest
ESS,Essex Property Trust Inc. Common Stock
EL,Estee Lauder Companies Inc. (The) Common Stock
EVRG,Evergy Inc. Common Stock
ES,Eversource Energy (D/B/A) Common Stock
EXC,Exelon Corporation Common Stock
EXPE,Expedia Group Inc. Common Stock
EXPD,Expeditors International of Washington Inc. Common Stock
EXR,Extra Space Storage Inc Common Stock
FANG,Diamondback Energy Inc. Common Stock
FFIV,F5 Inc. Common Stock
FB,#CALC!
FAST,Fastenal Company Common Stock
FRT,Federal Realty Investment Trust Common Stock
FDX,FedEx Corporation Common Stock
FIS,Fidelity National Information Services Inc. Common Stock
FITB,Fifth Third Bancorp Common Stock
FE,FirstEnergy Corp. Common Stock
FRC,#CALC!
FISV,#CALC!
FLT,#CALC!
FLIR,#CALC!
FLS,Flowserve Corporation Common Stock
FMC,FMC Corporation Common Stock
F,Ford Motor Company Common Stock
FTNT,Fortinet Inc. Common Stock
FTV,Fortive Corporation Common Stock 
FBHS,#CALC!
FOXA,Fox Corporation Class A Common Stock
FOX,Fox Corporation Class B Common Stock
FCX,Freeport-McMoRan Inc. Common Stock
